Round,Overall,Player,Team,Year,Pos,School
16,473,JP Wheat, Cubs,2022,RHP,Next Level Academy
16,473,Bryce Nightengale, Athletics,2018,RHP,George Mason
16,473,Robert Briley, Padres,2019,RHP,Seminole State
16,474,Colin Selby, Pirates,2018,RHP,Randolph-Macon Col
16,474,Jason Parker, Reds,2019,RHP,North Carolina State
16,474,Jimmy Joyce, Mariners,2021,RHP,Hofstra U
16,474,Jankel Ortiz, Twins,2022,SS,Academia Presbiteriana HS
16,475,Cooper McKeehan, Royals,2022,LHP,BYU
16,475,Parker McFadden, Orioles,2018,RHP,Washington State
16,475,Triston Polley, Rangers,2019,LHP,Indiana State
16,475,Ty Collins, Phillies,2021,RHP,Glendale College
16,476,Austin Becker, Rockies,2022,RHP,Texas Tech
16,476,Josh Hiatt, Blue Jays,2018,RHP,North Carolina
16,476,Julian Bosnic, Giants,2021,LHP,South Carolina
16,476,Brandon Martorano, Giants,2019,C,North Carolina
16,477,Jackxarel Lebron, Blue Jays,2019,RHP,International Baseball Academy
16,477,Sam Bordner, Marlins,2018,RHP,Louisville
16,477,Quinn Gudaitis, Tigers,2022,RHP,University of Illinois Springfield
16,477,Kaylan Nicasia, Brewers,2021,SS,Champagnat Catholic School
16,478,Nic Gaddis, Mets,2019,3B,Jacksonville State
16,478,Holden Laws, Mariners,2018,LHP,South Granville HS
16,478,Casey Dana, Angels,2022,OF,Connecticut
16,478,Nic Swanson, Astros,2021,RHP,Northeastern St U
16,479,Ivan Melendez, Marlins,2021,1B,Texas
16,479,Ryan Shreve, Twins,2019,RHP,University of the Pacific
16,479,Jimmy Loper, Mets,2022,RHP,Duke
16,479,Jonathan Edwards, Rangers,2018,RHP,Eagles Landing HS
16,480,Chris Cornelius, Phillies,2019,SS,Missouri
16,480,Owen Holt, Reds,2021,RHP,Alvin CC
16,480,Marvin Malone, Rays,2018,OF,Southeastern University
16,480,Henry Martinez, Padres,2022,RHP,Miami Christian School
16,481,Dakota Donovan, Angels,2019,RHP,Central Arizona College
16,481,Chase Chaney, Angels,2018,RHP,Mountain View HS
16,481,Logun Clark, Guardians,2022,C,Taft HS
16,481,Aaron McKeithan, Cardinals,2021,C,UNC Charlotte
16,482,Kyle Hinton, Royals,2018,RHP,University of Delaware
16,482,Brock Jones, D-backs,2019,LHP,William F. West HS
16,482,Micah Bucknam, Blue Jays,2021,RHP,Mennonite Educational Institute
16,482,Josh Bortka, Phillies,2022,RHP,U Central Missouri
16,483,Evan Sisk, Cardinals,2018,LHP,College of Charleston
16,483,Junior Martina, Nationals,2019,3B,Western Oklahoma State
16,483,Trey Braithwaite, Reds,2022,RHP,West Virginia
16,483,Cole Ayers, Yankees,2021,RHP,State College of Florida Manatee - Sarasota
16,484,Blaze Pontes, Athletics,2022,RHP,U Hawaii
16,484,Zac Leigh, Cubs,2021,RHP,Texas State
16,484,Eli Wilson, Pirates,2019,C,Minnesota
16,484,Anthony Hoopii-Tuionetoa, Twins,2018,RHP,Baldwin HS
16,485,E.J. Exposito, Braves,2022,SS,Long Island University
16,485,Alec Barger, Brewers,2018,RHP,Polk State College
16,485,Terrell Tatum, White Sox,2021,OF,NC State
16,485,Thomas Hart, Cardinals,2019,RHP,Wakeland HS
16,486,Boby Johnson, Rockies,2018,RHP,Bradley University
16,486,Logan Rinehart, Mariners,2019,RHP,California Baptist University
16,486,Zach Pettway, Guardians,2021,RHP,UCLA
16,486,Jacob McNairy, Mariners,2022,RHP,Alabama
16,487,Hunter Hayes, Cardinals,2022,RHP,Pacific
16,487,Kris Anglin, Braves,2021,LHP,Howard College
16,487,Derek Craft, Yankees,2018,RHP,University of Texas - San Antonio
16,487,Joey Estes, Braves,2019,RHP,Paraclete HS
16,488,Joe Gobillot, Rays,2019,LHP,Vanderbilt
16,488,Kale Davis, Blue Jays,2022,RHP,Oklahoma State
16,488,Colton Johnson, Athletics,2021,LHP,Illinois State
16,488,Josh Sawyer, Cubs,2018,LHP,Texas
16,489,Garrett Ramsey, Red Sox,2022,RHP,Southern Mississippi
16,489,Johnathan Lavallee, Twins,2021,RHP,Long Beach State
16,489,Ethan Larrison, D-backs,2018,RHP,Indiana State
16,489,Trysten Barlow, Rockies,2019,LHP,Mississippi State
16,490,Jordan Jones, Guardians,2019,RHP,Washington
16,490,Alek Jacob, Padres,2021,RHP,Gonzaga
16,490,Shane Gray, Yankees,2022,RHP,Evansville
16,490,Chris Machamer, Red Sox,2018,RHP,Kentucky
16,491,Andrew Baker, Dodgers,2019,RHP,Chipola College
16,491,Carson Teel, Nationals,2018,LHP,Oklahoma State
16,491,Tristan Stivors, White Sox,2022,RHP,Texas State
16,491,Ian Leatherman, Rays,2021,RHP,Central Michigan
16,492,Mike Sirota, Dodgers,2021,OF,The Gunnery School
16,492,Johzan Oquendo, Cubs,2019,RHP,Leadership Christian Academy
16,492,Ethan Lege, Brewers,2022,3B,Delgado Col
16,492,Alex Holderbach, Astros,2018,C,Eastern Kentucky
17,493,Carlos Lomeli, Pirates,2021,RHP,St. Mary's College
16,493,Mike Wilson, Brewers,2019,OF,SUNY Stony Brook
16,493,Tim Borden II, Astros,2022,SS,Georgia Tech
16,493,Ruben Cardenas, Guardians,2018,OF,Cal State Fullerton
17,494,Michael Alfonso, Rangers,2021,RHP,Key West HS
16,494,Kamren James, Rays,2022,3B,Mississippi State
16,494,Trey Dillard, Dodgers,2018,RHP,San Jacinto College North
16,494,Brady Basso, Athletics,2019,LHP,Oklahoma State
17,495,Aaron Haase, Tigers,2021,RHP,Wichita State
17,495,Avery Tuck, Tigers,2018,OF,New Mexico JC
16,495,Shaine McNeely, Yankees,2019,RHP,Hope International U
16,495,Jared Karros, Dodgers,2022,RHP,UCLA
17,496,Ryan Olenek, Giants,2018,OF,Ole Miss
17,496,Luis Guerrero, Red Sox,2021,RHP,Chipola College
16,496,Andrew Kachel, Giants,2022,2B,Fresno State
16,496,Dexter Jordan, Astros,2019,2B,Pearl River CC
17,497,Ryan Long, Orioles,2021,RHP,Pomona-Pitzer Col
17,497,Keylan Killgore, Phillies,2018,LHP,Wichita State
17,497,Carter Young, Orioles,2022,SS,Vanderbilt
16,497,Oraj Anu, Red Sox,2019,OF,George Wallace CC
17,498,Travis Moniot, White Sox,2018,SS,Arizona
17,498,Drake Varnado, D-backs,2021,SS,IMG Academy HS
17,498,Morgan McSweeney, Orioles,2019,RHP,Wake Forest
17,498,Logan Clayton, D-backs,2022,RHP,Houston
17,499,Noah Dickerson, Reds,2018,OF,TNXL Academy
17,499,Carson Dorsey, Rangers,2022,LHP,Gulf Coast CC
17,499,Luca Tresh, Royals,2021,C,NC State
17,499,A.J. Franklin, Royals,2019,LHP,Vanderbilt
17,500,Jarrod Cande, Rockies,2021,RHP,Florida Southern
17,500,Allan Winans, Mets,2018,RHP,Campbell University
17,500,Jeremiah Burke, White Sox,2019,RHP,Georgetown
17,500,Jaycob Deese, Pirates,2022,RHP,Houston
17,501,Troy Johnston, Marlins,2019,1B,Gonzaga
17,501,Hazahel Quijada, Padres,2018,LHP,University of California - Riverside
17,501,Mason Erla, Angels,2021,RHP,Michigan State
17,501,Blake Klassen, Nationals,2022,1B,UC Santa Barbara
17,502,A.J. Block, Tigers,2019,LHP,Washington State
17,502,Justin Dean, Braves,2018,OF,Lenoir-Rhyne University
17,502,Nick Zwack, Mets,2021,LHP,Xavier
17,502,Evan Chrest, Marlins,2022,RHP,Wharton HS
17,503,Brendan Collins, Nationals,2021,RHP,UNC Greensboro
17,503,Andy Garriola, Cubs,2022,OF,Old Dominion
17,503,Devin Foyle, Athletics,2018,OF,Kansas
17,503,Jared Alvarez-Lopez, Padres,2019,C,Cypress Ranch HS
17,504,Alec Sayre, Twins,2022,OF,Wright State
17,504,Jimmy Kingsbury, Mariners,2021,RHP,Villanova U
17,504,Patrick Raby, Reds,2019,RHP,Vanderbilt
17,504,Brad Case, Pirates,2018,RHP,Rollins College
17,505,Trevor Putzig, Orioles,2018,3B,Tennessee Tech
17,505,Chazz Martinez, Royals,2022,LHP,Oklahoma
17,505,Connor Housley, Rangers,2019,RHP,Sandy Creek HS
17,505,Alex Garbrick, Phillies,2021,RHP,University of South Carolina Upstate
17,506,Austin Havekost, Blue Jays,2018,RHP,Kent State
17,506,Tyler Hoffman, Rockies,2022,RHP,Tulane
17,506,Brett Standlee, Giants,2021,RHP,Oklahoma State
17,506,Connor Cannon, Giants,2019,1B,University of California - Riverside
17,507,Cole Patten, Tigers,2022,RHP,Villanova
17,507,Jared DiCesare, Blue Jays,2019,RHP,George Mason
17,507,Will Rogers, Brewers,2021,C,Mounds View HS
17,507,Alex Vesia, Marlins,2018,LHP,Cal State - East Bay
17,508,Sammy Natera Jr., Angels,2022,LHP,New Mexico State
17,508,Justin Williams, Astros,2021,3B,Penn St U
17,508,Dan Goggin, Mets,2019,RHP,James Madison University
17,508,Cesar Trejo, Mariners,2018,SS,UNC Greensboro
17,509,Scott Kapers, Rangers,2018,C,Valparaiso
17,509,Connor Brandon, Mets,2022,RHP,Toledo
17,509,Antoine Jean, Twins,2019,LHP,Edouard Montpetit HS
17,509,Justin Fall, Marlins,2021,LHP,Arizona State
17,510,Justin Montgomery, Rays,2018,RHP,California Baptist University
17,510,Hugh Pinkney, Padres,2022,C,Silverthorn Collegiate Inst
17,510,Hunter Milam, Phillies,2019,LHP,Gulf Coast CC
17,510,Dennis Boatman, Reds,2021,RHP,Sacramento CC
17,511,Angel Zarate, Guardians,2022,OF,North Carolina
17,511,Luis Alvarado, Angels,2018,RHP,Nebraska
17,511,Elijah Cabell, Cardinals,2021,OF,Florida State
17,511,Brandon White, Angels,2019,OF,West Virginia
17,512,Daniel Harper, Phillies,2022,RHP,Kentucky
17,512,Cooper Benson, Blue Jays,2021,LHP,Arizona State
17,512,Nick Grande, D-backs,2019,SS,SUNY Stony Brook
17,512,Noah Bryant, Royals,2018,RHP,Georgia Highlands College
17,513,Kyle Leahy, Cardinals,2018,RHP,Colorado Mesa University
17,513,Amos Willingham, Nationals,2019,RHP,Georgia Tech
17,513,Grant Richardson, Yankees,2021,OF,Indiana
17,513,Easton Sikorski, Reds,2022,RHP,Western Michigan
17,514,Ryan Harbin, Pirates,2019,RHP,Bartow Senior HS
17,514,Christian Olivo, Cubs,2021,SS,Leadership Christian Academy
17,514,Erik Cha, Twins,2018,LHP,Cal State Fullerton
17,514,Jake Garland, Athletics,2022,RHP,Miami
17,515,Clayton Andrews, Brewers,2018,LHP,Cal State Long Beach
17,515,Kevin Kilpatrick Jr., Braves,2022,OF,Central Florida
17,515,Michael YaSenka, Cardinals,2019,RHP,Eastern Illinois
17,515,Jayson Gonzalez, White Sox,2021,3B,Vanderbilt
17,516,Tyler Thornton, Guardians,2021,RHP,Arizona State
17,516,Dutch Landis, Mariners,2019,RHP,Liberty HS
17,516,Stefan Raeth, Mariners,2022,RHP,U Washington
17,516,Reese Berberet, Rockies,2018,3B,Long Beach CC
17,517,Brody Moore, Cardinals,2022,2B,Auburn
17,517,Barrett Loseke, Yankees,2018,RHP,Arkansas
17,517,Alec Barger, Braves,2019,RHP,North Carolina State
17,517,Tyler Tolve, Braves,2021,C,Kennesaw State
17,518,Kyle Virbitsky, Athletics,2021,RHP,Penn State
17,518,Trevor Brigden, Rays,2019,RHP,Okanahan College
17,518,Jake Reindl, Cubs,2018,RHP,Arkansas
17,518,Ryan Chasse, Blue Jays,2022,LHP,Campbell University
17,519,Justin Garcia, D-backs,2018,RHP,University of Arkansas - Little Rock
17,519,Zak Baayoun, Rockies,2019,LHP,Long Beach State
17,519,Dylan Neuse, Twins,2021,SS,Texas Tech
17,519,Deundre Jones, Red Sox,2022,OF,Lutheran South Academy
17,520,Luke Boyd, Padres,2021,RHP,Baylor
17,520,Lane Milligan, Red Sox,2018,C,Oklahoma City University
17,520,Julian Escobedo, Guardians,2019,OF,San Diego State
17,520,Hayden Merda, Yankees,2022,RHP,Azusa Pacific U
17,521,Nick Altermatt, White Sox,2022,RHP,Minnesota State - Mankato
17,521,Conor Dryer, Rays,2021,RHP,University of Central Missouri
17,521,Brandon Wulff, Dodgers,2019,OF,Stanford
17,521,Ridge Chapman, Nationals,2018,RHP,South Carolina
17,522,Adam Tulloch, Dodgers,2021,LHP,West Virginia
17,522,Tanner Jesson-Dalton, Cubs,2019,RHP,Sacramento State
17,522,Brady Neal, Brewers,2022,C,IMG Academy HS
17,522,Brett Daniels, Astros,2018,RHP,North Carolina
18,523,A.J. Graham, Pirates,2021,SS,Gaither HS
17,523,Garrett McGowan, Astros,2022,1B,Pittsburg State University
17,523,Kelvin Bender, Brewers,2019,LHP,Junipero Serra HS
17,523,Liam Jenkins, Guardians,2018,RHP,Louisville
18,524,Kyle Larsen, Rangers,2021,RHP,TNXL Academy
17,524,Aldrich De Jongh, Dodgers,2018,OF,Hillsborough CC
17,524,Levi Huesman, Rays,2022,LHP,Hanover HS
17,524,Vince Coletti, Athletics,2019,RHP,Florida Atlantic
18,525,Ethan DeCaster, Tigers,2018,RHP,Duke
18,525,Ben Malgeri, Tigers,2021,OF,Northeastern
17,525,Pat DeMarco, Yankees,2019,IF,Vanderbilt
17,525,Payton Martin, Dodgers,2022,RHP,West Forsyth HS
18,526,Phillip Sikes, Red Sox,2021,OF,TCU
18,526,Bryan Hernandez, Giants,2018,OF,Miguel Such Vocational School
17,526,Danny Cody, Astros,2019,RHP,Baldwin-Wallace Col
17,526,Justin Bench, Giants,2022,OF,Ole Miss
18,527,Andrew Walters, Orioles,2022,RHP,Miami
18,527,Matt Kroon, Phillies,2018,OF,Oklahoma State
18,527,Conor Grady, Orioles,2021,RHP,Florida State
17,527,Alex Erro, Red Sox,2019,C,Northwestern
18,528,Malachi Emond, Orioles,2019,RHP,New Mexico
18,528,Aiva Arquette, D-backs,2022,SS,Saint Louis School
18,528,Joey Spence, D-backs,2021,C,West Bend East HS
18,528,Romy Gonzalez, White Sox,2018,OF,Miami
18,529,Harrison Beethe, Royals,2021,RHP,TCU
18,529,Justin Sanchez, Rangers,2022,LHP,Msgr McClancy Memorial HS
18,529,Alberto Gonzalez, Reds,2018,RHP,Alexander HS
18,529,Burle Dixon, Royals,2019,OF,Cosumnes River College
18,530,Bryce McGowan, Rockies,2021,RHP,UNC Charlotte
18,530,Chase Chambers, Mets,2018,1B,Tennessee Tech
18,530,Elijah Birdsong, Pirates,2022,RHP,Pacific
18,530,Sammy Peralta, White Sox,2019,LHP,University of Tampa
18,531,Dylan Smith, Padres,2018,RHP,Stafford HS
18,531,Brad Lord, Nationals,2022,RHP,South Florida
18,531,Nick Mondak, Angels,2021,LHP,St. John's
18,531,Dustin Skelton, Marlins,2019,C,Mississippi State
18,532,Spencer Bramwell, Marlins,2022,C,Colorado Mesa University
18,532,Cameron Kurz, Braves,2018,RHP,UC San Diego
18,532,Jared Mang, Tigers,2019,OF,New Mexico
18,532,Kolby Kubichek, Mets,2021,RHP,Texas
18,533,Cobie Fletcher-Vance, Athletics,2018,3B,Alabama
18,533,Andrew Dean, Padres,2019,LHP,University of Illinois - Springfield
18,533,Garrett Brown, Cubs,2022,RHP,Georgia
18,533,Steven Williams, Nationals,2021,C,Auburn
18,534,Zach Veen, Twins,2022,LHP,Point Loma Nazarene University
18,534,Riley Davis, Mariners,2021,RHP,UAB
18,534,Jason Ruffcorn, Reds,2019,RHP,Oklahoma
18,534,Mike LoPresti, Pirates,2018,RHP,St. John's
18,535,Jake Zebron, Orioles,2018,RHP,Colonel Richardson HS
18,535,Milo Rushford, Royals,2022,OF,Walden Grove HS
18,535,Malik Binns, Phillies,2021,RHP,Benedictine U Mesa
18,535,Marc Church, Rangers,2019,RHP,North Atlanta HS
18,536,Fitz Stadler, Blue Jays,2018,RHP,Arizona State
18,536,Cole Waites, Giants,2019,RHP,University of West Alabama
18,536,Hunter Dula, Giants,2021,RHP,Wingate U
18,536,Javier Ramos, Rockies,2022,RHP,Oklahoma
18,537,Chris Williams Jr., Tigers,2022,LHP,William Carey University
18,537,Ryne Moore, Brewers,2021,RHP,Old Dominion
18,537,Brandon Eisert, Blue Jays,2019,LHP,Oregon State
18,537,Zach Wolf, Marlins,2018,RHP,Seattle University
18,538,Will Wagner, Astros,2021,2B,Liberty University
18,538,Max Gieg, Angels,2022,RHP,Boston College
18,538,Noah Zavolas, Mariners,2018,RHP,Harvard
18,538,Tanner Murphy, Mets,2019,OF,University of North Florida
18,539,Bennett Hostetler, Marlins,2021,SS,North Dakota State
18,539,Chris Santiago, Mets,2022,RHP,St. Mary's College
18,539,Grant Wolfram, Rangers,2018,LHP,Davenport University
18,539,Edouard Julien, Twins,2019,2B,Auburn
18,540,Jake Palomaki, Rays,2018,2B,Boston College
18,540,Nick Lackney, Phillies,2019,LHP,Minnesota
18,540,Austin Callahan, Reds,2021,3B,Hutchinson CC
18,540,Romeo Sanabria, Padres,2022,C,Indian River State Col
18,541,Andrew Marrero, Cardinals,2021,RHP,Connecticut
18,541,Ryan Smith, Angels,2019,LHP,Princeton
18,541,Zach Jacobs, Guardians,2022,RHP,UC Riverside
18,541,Dylan King, Angels,2018,RHP,Belmont University
18,542,Ricky Martinez, D-backs,2019,SS,Tennessee
18,542,R.J. Dabovich, Royals,2018,RHP,Central Arizona College
18,542,Jimmy Burnette, Blue Jays,2021,LHP,Saint Leo University
18,542,Braylen Wimmer, Phillies,2022,2B,South Carolina
18,543,Mason Doolittle, Nationals,2019,C,Palm Beach CC
18,543,Cole Aker, Cardinals,2018,RHP,University of Tampa
18,543,Mason Neville, Reds,2022,OF,Basic HS
18,543,Bailey Dees, Yankees,2021,RHP,Penn State
18,544,Vince Reilly, Athletics,2022,RHP,Grand Canyon University
18,544,Will Simpson, Pirates,2019,1B,Skyline HS
18,544,Andrew Cabezas, Twins,2018,RHP,Miami
18,544,Dominic Hambley, Cubs,2021,RHP,Belmont Secondary School
18,545,Adam Hackenberg, White Sox,2021,C,Clemson
18,545,Noah Williams, Braves,2022,OF,Redondo Union HS
18,545,Scott Sunitsch, Brewers,2018,LHP,Washington State
18,545,Aaron Antonini, Cardinals,2019,C,Middle Tennessee State
18,546,Shelby Lackey, Rockies,2018,RHP,University of the Pacific
18,546,Tyler Driver, Mariners,2019,RHP,Crossroads FLEX HS
18,546,Tommy Ventimiglia, Guardians,2021,RHP,Longwood HS
18,546,Brandon Schaeffer, Mariners,2022,LHP,North Carolina
18,547,Alex Guerrero, Yankees,2018,IF,Eagle HS
18,547,Mahki Backstrom, Braves,2019,1B,Junipero Serra HS
18,547,John Lynch, Cardinals,2022,LHP,Xavier U
18,547,Austin Smith, Braves,2021,RHP,Arizona
18,548,Mariano Ricciardi, Athletics,2021,2B,Dayton
18,548,Joe LaSorsa, Rays,2019,LHP,St. John's
18,548,Jeremy Pilon, Blue Jays,2022,LHP,Ecole Secondaire De Montagne
18,548,Jake Slaughter, Cubs,2018,3B,LSU
18,549,Mike Paredes, Twins,2021,RHP,San Diego St U
18,549,Kyler Stout, D-backs,2018,RHP,Oral Roberts
18,549,Trevor Boone, Rockies,2019,IF,Oklahoma State
18,549,Austin Ehrlicher, Red Sox,2022,RHP,Santa Rosa JC
18,550,Sebastian Keane, Yankees,2022,RHP,Northeastern
18,550,Eddie Jimenez, Red Sox,2018,RHP,Southeastern University
18,550,Gage Jump, Padres,2021,LHP,JSerra Catholic HS
18,550,Matt Waldron, Guardians,2019,RHP,Nebraska
18,551,Kenny Piper, Rays,2021,C,Columbia College
18,551,Jeff Belge, Dodgers,2019,LHP,St. John's
18,551,Bryce Willits, White Sox,2022,3B,UC Santa Barbara
18,551,Jacob Rhinesmith, Nationals,2018,OF,Western Kentucky
18,552,Jurrangelo Cijntje, Brewers,2022,SHP,Champagnat Catholic School
18,552,Michael Wielansky, Astros,2018,SS,College of Wooster
18,552,Damon Keith, Dodgers,2021,OF,California Baptist University
18,552,Alex Moore, Cubs,2019,RHP,Lander University
19,553,Drew Irvine, Pirates,2021,RHP,Iowa
18,553,Isaiah Jackson, Astros,2022,OF,Cienega HS
18,553,Shane McCarthy, Guardians,2018,RHP,Seton Hall
18,553,Ashton McGee, Brewers,2019,3B,North Carolina
19,554,Will Taylor, Rangers,2021,OF,Dutch Fork HS
18,554,Niko Hulsizer, Dodgers,2018,OF,Morehead State
18,554,Duncan Davitt, Rays,2022,RHP,Iowa
18,554,Jorge Romero, Athletics,2019,OF,Colegio Angel David HS
19,555,Justice Bigbie, Tigers,2021,1B,Western Carolina
19,555,Angel Reyes, Tigers,2018,RHP,University of Science and Arts of Oklahoma
18,555,Evan Voliva, Yankees,2019,RHP,East Carolina
18,555,Cameron Decker, Dodgers,2022,SS,Evansville North HS
19,556,Tyler Uberstine, Red Sox,2021,RHP,Northwestern
19,556,Randy Norris, Giants,2018,OF,Winston-Salem State University
18,556,Tanner Thach, Giants,2022,1B,Perquimans HS
18,556,Justin Campbell, Astros,2019,RHP,Simi Valley HS
19,557,Mark Potter, Phillies,2018,RHP,Central Florida
19,557,Alex Pham, Orioles,2021,RHP,University of San Francisco
19,557,Alden Mathes, Orioles,2022,OF,U Richmond
18,557,Jacob Herbert, Red Sox,2019,C,George Jenkins HS
19,558,Jensen Elliott, Orioles,2019,RHP,Oklahoma State
19,558,Gabriel Ortiz, White Sox,2018,C,PJ Education School
19,558,Gavin Turley, D-backs,2022,OF,Hamilton HS
19,558,Eric Hammond, D-backs,2021,RHP,Keller HS
19,559,Cam Williams, Royals,2021,SS,Texas
19,559,Nick Starr, Reds,2018,RHP,Southern Arkansas University
19,559,Austin Manning, Royals,2019,LHP,USC
19,559,Grayson Saunier, Rangers,2022,RHP,Collierville HS
19,560,Tommy Wilson, Mets,2018,RHP,Cal State Fullerton
19,560,Yoel Tejeda, Pirates,2022,RHP,North Broward Prep HS
19,560,Joshua Rivera, White Sox,2019,SS,Chipola College
19,560,Elijah Trest, Rockies,2021,RHP,Arkansas
19,561,Ian Villers, Padres,2018,RHP,Northgate HS
19,561,Johnathon Thomas, Nationals,2022,OF,Texas Southern U
19,561,Nate Rombach, Marlins,2019,C,Legacy HS
19,561,Nathan Burns, Angels,2021,RHP,Oregon State
19,562,Zach Daniels, Braves,2018,RHP,Iowa
19,562,Drake Osborn, Mets,2021,C,U Louisiana Lafayette
19,562,Carmine Lane, Marlins,2022,3B,South Florida
19,562,Kerry Carpenter, Tigers,2019,OF,Virginia Tech
19,563,Matt Cross, Athletics,2018,C,Niagara County CC
19,563,Riggs Threadgill, Nationals,2021,RHP,McLennan CC
19,563,Chris Givin, Padres,2019,SS,Xavier
19,563,Brock Blatter, Cubs,2022,RHP,Billings Central Catholic HS
19,564,Garrett McMillan, Twins,2022,RHP,Alabama
19,564,Charlie Welch, Mariners,2021,C,Arkansas
19,564,Tyler Garbee, Reds,2019,RHP,Mercyhurst College
19,564,Will Kobos, Pirates,2018,RHP,George Washington University
19,565,Blaine Crim, Rangers,2019,1B,Mississippi Col
19,565,Tommy Szczepanski, Royals,2022,RHP,Garber HS
19,565,Seth Halvorsen, Phillies,2021,RHP,Missouri
19,565,Andrew Jayne, Orioles,2018,OF,Terry Sanford HS
19,566,Skyler Messinger, Rockies,2022,3B,Texas
19,566,Irvin Murr III, Giants,2021,3B,Winter Springs HS
19,566,Adrian Ramos, Blue Jays,2018,OF,Miami Dade CC South
19,566,Kanoa Pagan, Giants,2019,RHP,Mission Col
19,567,Gustavo Sosa, Blue Jays,2019,C,Tottenville HS
19,567,Carter Holton, Brewers,2021,LHP,Benedictine Military School
19,567,Justin Evans, Marlins,2018,RHP,Columbus State University
19,567,Albert Oliva, Tigers,2022,RHP,New Mexico Military Institute
19,568,Luke Franzoni, Angels,2022,OF,Xavier
19,568,Hunter Parsons, Mets,2019,RHP,Maryland
19,568,Hector Nieves, Astros,2021,SS,Puerto Rico Baseball Academy
19,568,Dean Nevarez, Mariners,2018,C,San Diego State
19,569,Noah Williamson, Marlins,2021,OF,Everett CC
19,569,Xavier Valentin, Rangers,2018,C,Leadership Christian Academy
19,569,Niall Windeler, Twins,2019,LHP,University of British Columbia
19,569,Jackson Lovich, Mets,2022,SS,Blue Valley West HS
19,570,Simon Rosenblum-Larson, Rays,2018,RHP,Harvard
19,570,Spence Coffman, Padres,2022,SS,Tishomingo Co HS
19,570,Ryan Cardona, Reds,2021,RHP,Marist College
19,570,Spencer Van Scoyoc, Phillies,2019,LHP,University of Central Oklahoma
19,571,Geo Rivera Jr., Guardians,2022,RHP,Walters State CC
19,571,Garrett Lawson, Angels,2019,LHP,Delaware State University
19,571,Datren Bray, Angels,2018,OF,Gordon State College
19,571,Thomas Francisco, Cardinals,2021,IF,East Carolina
19,572,Juan Gonzalez, Blue Jays,2021,C,Miami Dade College
19,572,Drew Garrett, Phillies,2022,RHP,Missouri
19,572,Noah Soles, D-backs,2019,OF,Ledford Senior HS
19,572,Hunter Wolfe, Royals,2018,OF,Walters State CC
19,573,Tyler Yankosky, Nationals,2019,RHP,Millersville University
19,573,Tyler Chadwick, Reds,2022,RHP,Iowa Western CC
19,573,Josh Shaw, Cardinals,2018,2B,St. John's
19,573,Dominic Keegan, Yankees,2021,C,Vanderbilt
19,574,Daniel Avitia, Cubs,2021,RHP,Alhambra HS
19,574,Cory Wood, Pirates,2019,2B,Coastal Carolina
19,574,Tommy Stevenson, Athletics,2022,1B,Missouri Southern St Col
19,574,Austin Schulfer, Twins,2018,RHP,University of Wisconsin - Milwaukee
19,575,Christian Jackson, Braves,2022,OF,Dutchtown HS
19,575,Zarion Sharpe, Cardinals,2019,LHP,UNC Wilmington
19,575,Shawn Goosenberg, White Sox,2021,SS,Northwestern
19,575,Peyton Zabel, Brewers,2018,RHP,T.F. Riggs HS
19,576,Reid Johnston, Guardians,2021,RHP,NC State
19,576,Travis Kuhn, Mariners,2019,RHP,University of San Diego
19,576,Zach Hall, Rockies,2018,OF,UC Colorado Springs
19,576,Curtis Washington Jr., Mariners,2022,OF,Purdue
19,577,Kadon Morton, Braves,2019,OF,Seguin HS
19,577,Samuel Strickland, Braves,2021,LHP,Samford University
19,577,Alex Junior, Yankees,2018,OF,Tennessee Tech
19,577,Chris Rotondo, Cardinals,2022,OF,Villanova U
19,578,Blake Beers, Athletics,2021,RHP,Michigan
19,578,Christian Johnson, Rays,2019,OF,Clinton HS
19,578,Gage Stanifer, Blue Jays,2022,RHP,Westfield HS
19,578,Layne Looney, Cubs,2018,RHP,Richmond
19,579,Turner Brown, Rockies,2019,SS,East Carolina
19,579,Andy Toelken, D-backs,2018,RHP,Missouri
19,579,Jaylen Nowlin, Twins,2021,LHP,Chipola College
19,579,Jaret Godman, Red Sox,2022,RHP,Oklahoma
19,580,Kevin Kelly, Guardians,2019,RHP,James Madison University
19,580,Jonathan Ortega, Red Sox,2018,2B,Texas State
19,580,Beau Brewer, Yankees,2022,3B,Paris JC
19,580,Gabriel Rincones Jr., Padres,2021,OF,St. Petersburg College
19,581,Sean Hunley, Rays,2021,RHP,Tennessee
19,581,Drake Logan, White Sox,2022,3B,Shelton State CC
19,581,Zach Linginfelter, Nationals,2018,RHP,Tennessee
19,581,Braidyn Fink, Dodgers,2019,LHP,Oklahoma
19,582,Jaden Noot, Brewers,2022,RHP,Sierra Canyon School
19,582,Gabe Emmett, Dodgers,2021,RHP,Folsom Lake College
19,582,Adam Laskey, Cubs,2019,LHP,Duke
19,582,Devin Conn, Astros,2018,RHP,Nova Southeastern University
20,583,Brenden Dixon, Pirates,2021,SS,Weatherford College
19,583,Bryce Milligan, Brewers,2019,RHP,Oklahoma City University
19,583,John Garcia, Astros,2022,C,Grambling State
19,583,Antoine Duplantis, Guardians,2018,OF,LSU
20,584,Joseph Montalvo, Rangers,2021,RHP,Central Pointe Christian Academy
19,584,Sam McWilliams, Dodgers,2018,OF,Meridian CC
