Round,Overall,Player,Team,Year,Pos,School
2,47,Nick Quintana, Tigers,2019,3B,Arizona
2,48,Joshua Mears, Padres,2019,OF,Federal Way HS
2,48,Connor Prielipp, Twins,2022,LHP,Alabama
2,48,Simeon Woods Richardson, Mets,2018,RHP,Kempner HS
2,48,Edwin Arroyo, Mariners,2021,SS,Arecibo Baseball Academy
2,48,Christian Roa, Reds,2020,RHP,Texas A&M
2,49,Ethan Wilson, Phillies,2021,OF,University of South Alabama
2,49,Rece Hinds, Reds,2019,OF,IMG Academy HS
2,49,Greyson Jenista, Braves,2018,1B,Wichita State
2,49,Casey Schmitt, Giants,2020,3B,San Diego State
2,49,Cayden Wallace, Royals,2022,3B,Arkansas
2,50,Matt Mikulski, Giants,2021,LHP,Fordham
2,50,Jameson Hannah, Athletics,2018,OF,Dallas Baptist
2,50,Jackson Cox, Rockies,2022,RHP,Toutle Lake HS
2,50,Ryan Garcia, Rangers,2019,RHP,UCLA
2,50,Evan Carter, Rangers,2020,OF,Elizabethton HS
2,51,Logan Wyatt, Giants,2019,1B,Louisville
2,51,Peyton Graham, Tigers,2022,3B,Oklahoma
2,51,Burl Carraway, Cubs,2020,LHP,Dallas Baptist
2,51,Braxton Ashcraft, Pirates,2018,RHP,Robinson HS
2,51,Russell Smith, Brewers,2021,LHP,TCU
2,52,Cody Morissette, Marlins,2021,SS,Boston College
2,52,J.T. Ginn, Mets,2020,RHP,Mississippi State
2,52,Blade Tidwell, Mets,2022,RHP,Tennessee
2,52,Kendall Williams, Blue Jays,2019,RHP,IMG Academy HS
2,52,Griffin Conine, Blue Jays,2018,OF,Duke
2,53,Josh Wolf, Mets,2019,RHP,St. Thomas HS
2,53,Freddy Zamora, Brewers,2020,SS,Miami
2,53,Osiris Johnson, Marlins,2018,OF,Encinal HS
2,53,Andrew Abbott, Reds,2021,LHP,Virginia
2,53,Adam Mazur, Padres,2022,RHP,Iowa
2,54,Parker Messick, Guardians,2022,LHP,Florida State
2,54,Josh Stowers, Mariners,2018,OF,Louisville
2,54,Joshua Baez, Cardinals,2021,OF,Dexter School
2,54,Masyn Winn, Cardinals,2020,SS,Kingwood HS
2,54,Matt Canterino, Twins,2019,RHP,Rice
2,55,Kyren Paris, Angels,2019,3B,Freedom HS
2,55,Cole Henry, Nationals,2020,RHP,LSU
2,55,Logan Tanner, Reds,2022,C,Mississippi State
2,55,Owen White, Rangers,2018,RHP,Jesse Carson HS
2,55,Brendan Beck, Yankees,2021,RHP,Stanford
2,56,Henry Bolte, Athletics,2022,OF,Palo Alto HS
2,56,Tyler Frank, Rays,2018,2B,Florida Atlantic
2,56,Ryne Nelson, D-backs,2019,RHP,Oregon
2,56,James Triantos, Cubs,2021,3B,James Madison HS
2,56,Logan Allen, Guardians,2020,LHP,Florida International
2,57,Jeremiah Jackson, Angels,2018,SS,St. Luke's Episcopal School
2,57,Cole Phillips, Braves,2022,RHP,Boerne HS
2,57,Ian Seymour, Rays,2020,LHP,Virginia Tech
2,57,Wes Kath, White Sox,2021,3B,Desert Mountain HS
2,57,Matt Gorski, Pirates,2019,OF,Indiana
2,58,Tyler Locklear, Mariners,2022,3B,VCU
2,58,Doug Nikhazy, Guardians,2021,LHP,Ole Miss
2,58,Tre Fletcher, Cardinals,2019,OF,Deering HS
2,58,Jonathan Bowlan, Royals,2018,RHP,Memphis
2,58,Jeff Criswell, Athletics,2020,RHP,Michigan
2,59,Brycen Mautz, Cardinals,2022,LHP,University of San Diego
2,59,Brandon Williamson, Mariners,2019,LHP,TCU
2,59,Ryan Jeffers, Twins,2018,C,UNC Wilmington
2,59,Alerick Soularie, Twins,2020,OF,Tennessee
2,59,Spencer Schwellenbach, Braves,2021,RHP,Nebraska
2,60,Beau Philip, Braves,2019,SS,Oregon State
2,60,Josh Kasevich, Blue Jays,2022,SS,Oregon
2,60,Zack Gelof, Athletics,2021,SS,Virginia
2,60,Joe Gray Jr., Brewers,2018,OF,Hattiesburg HS
2,60,Landon Knack, Dodgers,2020,RHP,East Tennessee State
2,61,John Doxakis, Rays,2019,LHP,Texas A&M
2,61,Steve Hajjar, Twins,2021,LHP,Michigan
2,61,Josh Breaux, Yankees,2018,C,McLennan CC
2,61,Kyle Nicolas, Marlins,2020,RHP,Ball State
2,61,Drew Thorpe, Yankees,2022,RHP,Cal Poly
2,62,Daniel Cabrera, Tigers,2020,OF,LSU
2,62,Aaron Schunk, Rockies,2019,3B,Georgia
2,62,Brennen Davis, Cubs,2018,OF,Basha HS
2,62,James Wood, Padres,2021,OF,IMG Academy HS
2,62,Peyton Pallette, White Sox,2022,RHP,Arkansas
2,63,Kyle Manzardo, Rays,2021,1B,Washington State
2,63,Tink Hence, Cardinals,2020,RHP,Watson Chapel HS
2,63,Jacob Misiorowski, Brewers,2022,RHP,Crowder College
2,63,Yordys Valdes, Guardians,2019,SS,McArthur HS
2,63,Alek Thomas, D-backs,2018,OF,Mt. Carmel HS
2,64,Connor Phillips, Mariners,2020,RHP,McLennan CC
2,64,Nick Decker, Red Sox,2018,OF,Seneca HS
2,64,Chase Strumpf, Cubs,2019,2B,UCLA
2,64,Lonnie White Jr., Pirates,2021,OF,Malvern Prep School
2,64,Jacob Melton, Astros,2022,OF,Oregon State
2,65,Reed Trimble, Orioles,2021,OF,Southern Mississippi
2,65,Brock Jones, Rays,2022,OF,Stanford
2,65,Jackson Miller, Reds,2020,C,J.W. Mitchell HS
2,65,Antoine Kelly, Brewers,2019,LHP,Wabash Valley College
2,65,Tim Cate, Nationals,2018,LHP,Connecticut
2,66,Jayson Schroeder, Astros,2018,RHP,Juanita HS
2,66,Carson Whisenhunt, Giants,2022,LHP,East Carolina
2,66,Tyler Baum, Athletics,2019,RHP,North Carolina
2,66,Peyton Wilson, Royals,2021,2B,Alabama
2,66,Clayton Beeter, Dodgers,2020,RHP,Texas Tech
2,67,Jud Fabian, Orioles,2022,OF,Florida
2,67,Adrian Del Castillo, D-backs,2021,C,Miami
2,67,Nick Sandlin, Guardians,2018,RHP,Southern Mississippi
2,67,Josh H. Smith, Yankees,2019,SS,LSU
2,67,Nick Swiney, Giants,2020,LHP,North Carolina State
2,68,Jimmy Glowenke, Giants,2020,2B,Dallas Baptist
2,68,Grae Kessinger, Astros,2019,3B,Ole Miss
2,68,Joe Rock, Rockies,2021,LHP,Ohio University
2,68,Tanner Schobel, Twins,2022,SS,Virginia Tech
2,68,Michael Grove, Dodgers,2018,RHP,West Virginia
2,69,Will Banfield, Marlins,2018,C,Brookwood HS
2,69,Isaiah Greene, Mets,2020,OF,Corona Senior HS
2,69,Tommy Mace, Guardians,2021,RHP,Florida
2,69,Matthew Lugo, Red Sox,2019,SS,Carlos Beltran Baseball Academy
2,69,Clark Elliott, Athletics,2022,OF,Michigan
2,70,Jeremy Eierman, Athletics,2018,3B,Missouri State
2,70,Chandler Simpson, Rays,2022,SS,Georgia Tech
2,70,Ryan Holgate, Cardinals,2021,OF,Arizona
2,70,Alec Marsh, Royals,2019,RHP,Arizona State
2,70,Alec Burleson, Cardinals,2020,OF,East Carolina
2,71,Kyle Stowers, Orioles,2019,OF,Stanford
2,71,Robert Gasser, Padres,2021,LHP,Houston
2,71,Tanner Dodson, Rays,2018,RHP,California
2,71,Ryan Cermak, Rays,2022,OF,Illinois State
2,71,Sammy Infante, Nationals,2020,SS,Monsignor Edward Pace HS
3,72,Bubba Chandler, Pirates,2021,RHP,North Oconee HS
2,72,Jared Triolo, Pirates,2019,3B,Houston
2,72,Josiah Gray, Reds,2018,RHP,Le Moyne College
